"train/global_step","./llama_results_packing - _step","./llama_results_packing - _step__MIN","./llama_results_packing - _step__MAX","./llama_results_packing - eval/loss","./llama_results_packing - eval/loss__MIN","./llama_results_packing - eval/loss__MAX"
"14800","591","591","591","1.8031494617462158","1.8031494617462158","1.8031494617462158"
"14850","593","593","593","1.7903634309768677","1.7903634309768677","1.7903634309768677"
"14900","595","595","595","1.7984381914138794","1.7984381914138794","1.7984381914138794"
"14950","597","597","597","1.8034476041793823","1.8034476041793823","1.8034476041793823"
"15000","599","599","599","1.790086269378662","1.790086269378662","1.790086269378662"
"15050","601","601","601","1.7790273427963257","1.7790273427963257","1.7790273427963257"
"15100","603","603","603","1.7782883644104004","1.7782883644104004","1.7782883644104004"
"15150","605","605","605","1.7728596925735474","1.7728596925735474","1.7728596925735474"
"15200","607","607","607","1.7724347114562988","1.7724347114562988","1.7724347114562988"
"15250","609","609","609","1.7696408033370972","1.7696408033370972","1.7696408033370972"
"15300","611","611","611","1.7648963928222656","1.7648963928222656","1.7648963928222656"
"15350","613","613","613","1.754730224609375","1.754730224609375","1.754730224609375"
"15400","615","615","615","1.7967897653579712","1.7967897653579712","1.7967897653579712"
"15450","617","617","617","1.7861143350601196","1.7861143350601196","1.7861143350601196"
"15500","619","619","619","1.7783169746398926","1.7783169746398926","1.7783169746398926"
"15550","621","621","621","1.7748852968215942","1.7748852968215942","1.7748852968215942"
"15600","623","623","623","1.7738680839538574","1.7738680839538574","1.7738680839538574"
"15650","625","625","625","1.7791043519973755","1.7791043519973755","1.7791043519973755"
"15700","627","627","627","1.7759209871292114","1.7759209871292114","1.7759209871292114"
"15750","629","629","629","1.76775062084198","1.76775062084198","1.76775062084198"
"15800","631","631","631","1.7753983736038208","1.7753983736038208","1.7753983736038208"
"15850","633","633","633","1.8316556215286255","1.8316556215286255","1.8316556215286255"
"15900","635","635","635","1.841300368309021","1.841300368309021","1.841300368309021"
"15950","637","637","637","1.8094722032546997","1.8094722032546997","1.8094722032546997"
"16000","639","639","639","1.8371509313583374","1.8371509313583374","1.8371509313583374"
"16050","641","641","641","1.8229583501815796","1.8229583501815796","1.8229583501815796"
"16100","643","643","643","1.8341948986053467","1.8341948986053467","1.8341948986053467"
"16150","645","645","645","1.8193355798721313","1.8193355798721313","1.8193355798721313"
"16200","647","647","647","1.824123740196228","1.824123740196228","1.824123740196228"
"16250","649","649","649","1.8006978034973145","1.8006978034973145","1.8006978034973145"
"16300","651","651","651","1.785244345664978","1.785244345664978","1.785244345664978"
"16350","653","653","653","1.7854076623916626","1.7854076623916626","1.7854076623916626"
"16400","655","655","655","1.7952499389648438","1.7952499389648438","1.7952499389648438"
"16450","657","657","657","1.7843103408813477","1.7843103408813477","1.7843103408813477"
"16500","659","659","659","1.7965847253799438","1.7965847253799438","1.7965847253799438"
"16550","661","661","661","1.792238473892212","1.792238473892212","1.792238473892212"
"16600","663","663","663","1.803815484046936","1.803815484046936","1.803815484046936"
"16650","665","665","665","1.803151249885559","1.803151249885559","1.803151249885559"
"16700","667","667","667","1.7887938022613525","1.7887938022613525","1.7887938022613525"
"16750","669","669","669","1.7901135683059692","1.7901135683059692","1.7901135683059692"
"16800","671","671","671","1.7919895648956299","1.7919895648956299","1.7919895648956299"
"16850","673","673","673","1.7846029996871948","1.7846029996871948","1.7846029996871948"
"16900","675","675","675","1.7799009084701538","1.7799009084701538","1.7799009084701538"
"16950","677","677","677","1.7748641967773438","1.7748641967773438","1.7748641967773438"
"17000","679","679","679","1.787680983543396","1.787680983543396","1.787680983543396"
"17050","681","681","681","1.8061153888702393","1.8061153888702393","1.8061153888702393"
"17100","683","683","683","1.8653228282928467","1.8653228282928467","1.8653228282928467"
"17150","685","685","685","1.8397806882858276","1.8397806882858276","1.8397806882858276"
"17200","687","687","687","1.8484272956848145","1.8484272956848145","1.8484272956848145"
"17250","689","689","689","1.8425042629241943","1.8425042629241943","1.8425042629241943"
"17300","691","691","691","1.8322714567184448","1.8322714567184448","1.8322714567184448"
"17350","693","693","693","1.847513198852539","1.847513198852539","1.847513198852539"
"17400","695","695","695","1.8565694093704224","1.8565694093704224","1.8565694093704224"
"17450","697","697","697","1.8344420194625854","1.8344420194625854","1.8344420194625854"
"17500","699","699","699","1.8274784088134766","1.8274784088134766","1.8274784088134766"
"17550","701","701","701","1.8045741319656372","1.8045741319656372","1.8045741319656372"
"17600","703","703","703","1.8319380283355713","1.8319380283355713","1.8319380283355713"
"17650","705","705","705","1.8224153518676758","1.8224153518676758","1.8224153518676758"
"17700","707","707","707","1.8210426568984985","1.8210426568984985","1.8210426568984985"
