"train/global_step","./llama_gpt_results_packing - _step","./llama_gpt_results_packing - _step__MIN","./llama_gpt_results_packing - _step__MAX","./llama_gpt_results_packing - eval/loss","./llama_gpt_results_packing - eval/loss__MIN","./llama_gpt_results_packing - eval/loss__MAX"
"12100","483","483","483","2.6324994564056396","2.6324994564056396","2.6324994564056396"
"12150","485","485","485","2.646057367324829","2.646057367324829","2.646057367324829"
"12200","487","487","487","2.6099793910980225","2.6099793910980225","2.6099793910980225"
"12250","489","489","489","2.56548810005188","2.56548810005188","2.56548810005188"
"12300","491","491","491","2.6774954795837402","2.6774954795837402","2.6774954795837402"
"12350","493","493","493","2.6894371509552","2.6894371509552","2.6894371509552"
"12400","495","495","495","2.6358704566955566","2.6358704566955566","2.6358704566955566"
"12450","497","497","497","2.6310245990753174","2.6310245990753174","2.6310245990753174"
"12500","499","499","499","2.65950083732605","2.65950083732605","2.65950083732605"
"12550","501","501","501","2.6413567066192627","2.6413567066192627","2.6413567066192627"
"12600","503","503","503","2.643002986907959","2.643002986907959","2.643002986907959"
"12650","505","505","505","2.6997768878936768","2.6997768878936768","2.6997768878936768"
"12700","507","507","507","2.8157525062561035","2.8157525062561035","2.8157525062561035"
"12750","509","509","509","2.8401074409484863","2.8401074409484863","2.8401074409484863"
"12800","511","511","511","2.798391580581665","2.798391580581665","2.798391580581665"
"12850","513","513","513","2.8150877952575684","2.8150877952575684","2.8150877952575684"
"12900","515","515","515","2.775928258895874","2.775928258895874","2.775928258895874"
"12950","517","517","517","2.7531843185424805","2.7531843185424805","2.7531843185424805"
"13000","519","519","519","2.762103796005249","2.762103796005249","2.762103796005249"
"13050","521","521","521","2.7954838275909424","2.7954838275909424","2.7954838275909424"
"13100","523","523","523","2.658862829208374","2.658862829208374","2.658862829208374"
"13150","525","525","525","2.787997245788574","2.787997245788574","2.787997245788574"
"13200","527","527","527","2.9412426948547363","2.9412426948547363","2.9412426948547363"
"13250","529","529","529","2.847827672958374","2.847827672958374","2.847827672958374"
"13300","531","531","531","2.7729015350341797","2.7729015350341797","2.7729015350341797"
"13350","533","533","533","2.855497360229492","2.855497360229492","2.855497360229492"
"13400","535","535","535","2.7800498008728027","2.7800498008728027","2.7800498008728027"
"13450","537","537","537","2.802513837814331","2.802513837814331","2.802513837814331"
"13500","539","539","539","2.8099968433380127","2.8099968433380127","2.8099968433380127"
"13550","541","541","541","2.8600471019744873","2.8600471019744873","2.8600471019744873"
"13600","543","543","543","2.939213275909424","2.939213275909424","2.939213275909424"
"13650","545","545","545","2.9771358966827393","2.9771358966827393","2.9771358966827393"
"13700","547","547","547","2.9097800254821777","2.9097800254821777","2.9097800254821777"
"13750","549","549","549","2.8748929500579834","2.8748929500579834","2.8748929500579834"
"13800","551","551","551","2.9040982723236084","2.9040982723236084","2.9040982723236084"
"13850","553","553","553","2.955369234085083","2.955369234085083","2.955369234085083"
"13900","555","555","555","2.909224510192871","2.909224510192871","2.909224510192871"
"13950","557","557","557","2.6965975761413574","2.6965975761413574","2.6965975761413574"
"14000","559","559","559","2.9486083984375","2.9486083984375","2.9486083984375"
"14050","561","561","561","2.9520697593688965","2.9520697593688965","2.9520697593688965"
"14100","563","563","563","2.9218268394470215","2.9218268394470215","2.9218268394470215"
"14150","565","565","565","3.0219340324401855","3.0219340324401855","3.0219340324401855"
"14200","567","567","567","3.0550341606140137","3.0550341606140137","3.0550341606140137"
"14250","569","569","569","2.901089906692505","2.901089906692505","2.901089906692505"
"14300","571","571","571","2.922959327697754","2.922959327697754","2.922959327697754"
"14350","573","573","573","2.9776129722595215","2.9776129722595215","2.9776129722595215"
"14400","575","575","575","2.969430446624756","2.969430446624756","2.969430446624756"
"14450","577","577","577","3.0155065059661865","3.0155065059661865","3.0155065059661865"
"14500","579","579","579","2.9498202800750732","2.9498202800750732","2.9498202800750732"
"14550","581","581","581","3.037850856781006","3.037850856781006","3.037850856781006"
"14600","583","583","583","3.0265114307403564","3.0265114307403564","3.0265114307403564"
"14650","585","585","585","2.931919813156128","2.931919813156128","2.931919813156128"
"14700","587","587","587","2.983690023422241","2.983690023422241","2.983690023422241"
"14750","589","589","589","3.0262413024902344","3.0262413024902344","3.0262413024902344"
"14800","591","591","591","2.9982190132141113","2.9982190132141113","2.9982190132141113"
"14850","593","593","593","3.0892484188079834","3.0892484188079834","3.0892484188079834"
"14900","595","595","595","3.143709897994995","3.143709897994995","3.143709897994995"
"14950","597","597","597","3.1336286067962646","3.1336286067962646","3.1336286067962646"
"15000","599","599","599","3.1646618843078613","3.1646618843078613","3.1646618843078613"
"15050","601","601","601","3.0371041297912598","3.0371041297912598","3.0371041297912598"
"15100","603","603","603","3.0537493228912354","3.0537493228912354","3.0537493228912354"
"15150","605","605","605","3.0687501430511475","3.0687501430511475","3.0687501430511475"
"15200","607","607","607","3.0579674243927","3.0579674243927","3.0579674243927"
"15250","609","609","609","3.074012041091919","3.074012041091919","3.074012041091919"
"15300","611","611","611","3.0804433822631836","3.0804433822631836","3.0804433822631836"
"15350","613","613","613","3.0584728717803955","3.0584728717803955","3.0584728717803955"
"15400","615","615","615","3.0852272510528564","3.0852272510528564","3.0852272510528564"
"15450","617","617","617","3.04815936088562","3.04815936088562","3.04815936088562"
"15500","619","619","619","3.1726086139678955","3.1726086139678955","3.1726086139678955"
"15550","621","621","621","3.1043567657470703","3.1043567657470703","3.1043567657470703"
"15600","623","623","623","3.0557868480682373","3.0557868480682373","3.0557868480682373"
"15650","625","625","625","3.164811134338379","3.164811134338379","3.164811134338379"
"15700","627","627","627","3.152376174926758","3.152376174926758","3.152376174926758"
"15750","629","629","629","3.1788363456726074","3.1788363456726074","3.1788363456726074"
"15800","631","631","631","3.1338930130004883","3.1338930130004883","3.1338930130004883"
"15850","633","633","633","3.162851095199585","3.162851095199585","3.162851095199585"
"15900","635","635","635","3.177503824234009","3.177503824234009","3.177503824234009"
"15950","637","637","637","3.1568925380706787","3.1568925380706787","3.1568925380706787"
"16000","639","639","639","3.1900851726531982","3.1900851726531982","3.1900851726531982"
"16050","641","641","641","3.176520824432373","3.176520824432373","3.176520824432373"
"16100","643","643","643","3.1920828819274902","3.1920828819274902","3.1920828819274902"
"16150","645","645","645","3.1619017124176025","3.1619017124176025","3.1619017124176025"
"16200","647","647","647","3.181314706802368","3.181314706802368","3.181314706802368"
"16250","649","649","649","3.1387507915496826","3.1387507915496826","3.1387507915496826"
"16300","651","651","651","3.145627975463867","3.145627975463867","3.145627975463867"
"16350","653","653","653","3.225050926208496","3.225050926208496","3.225050926208496"
"16400","655","655","655","3.117921829223633","3.117921829223633","3.117921829223633"
"16450","657","657","657","3.0348451137542725","3.0348451137542725","3.0348451137542725"
"16500","659","659","659","3.3270370960235596","3.3270370960235596","3.3270370960235596"
"16550","661","661","661","3.265798807144165","3.265798807144165","3.265798807144165"
"16600","663","663","663","3.2666141986846924","3.2666141986846924","3.2666141986846924"
"16650","665","665","665","3.2853126525878906","3.2853126525878906","3.2853126525878906"
"16700","667","667","667","3.244966506958008","3.244966506958008","3.244966506958008"
"16750","669","669","669","3.2826361656188965","3.2826361656188965","3.2826361656188965"
"16800","671","671","671","3.2319507598876953","3.2319507598876953","3.2319507598876953"
"16850","673","673","673","3.267063856124878","3.267063856124878","3.267063856124878"
"16900","675","675","675","3.2069003582000732","3.2069003582000732","3.2069003582000732"
"16950","677","677","677","3.39188814163208","3.39188814163208","3.39188814163208"
"17000","679","679","679","3.197958469390869","3.197958469390869","3.197958469390869"
"17050","681","681","681","3.2950735092163086","3.2950735092163086","3.2950735092163086"
"17100","683","683","683","3.229351282119751","3.229351282119751","3.229351282119751"
"17150","685","685","685","3.1403353214263916","3.1403353214263916","3.1403353214263916"
"17200","687","687","687","3.2463889122009277","3.2463889122009277","3.2463889122009277"
"17250","689","689","689","3.2338929176330566","3.2338929176330566","3.2338929176330566"
"17300","691","691","691","3.2651214599609375","3.2651214599609375","3.2651214599609375"
"17350","693","693","693","3.3504087924957275","3.3504087924957275","3.3504087924957275"
"17400","695","695","695","3.408543348312378","3.408543348312378","3.408543348312378"
"17450","697","697","697","3.4056003093719482","3.4056003093719482","3.4056003093719482"
"17500","699","699","699","3.4339301586151123","3.4339301586151123","3.4339301586151123"
"17550","701","701","701","3.3739218711853027","3.3739218711853027","3.3739218711853027"
"17600","703","703","703","3.2831108570098877","3.2831108570098877","3.2831108570098877"
"17650","705","705","705","3.3107993602752686","3.3107993602752686","3.3107993602752686"
"17700","707","707","707","3.3696582317352295","3.3696582317352295","3.3696582317352295"
"17750","709","709","709","3.297264575958252","3.297264575958252","3.297264575958252"
"17800","711","711","711","3.3831541538238525","3.3831541538238525","3.3831541538238525"
"17850","713","713","713","3.4191672801971436","3.4191672801971436","3.4191672801971436"
"17900","715","715","715","3.3674817085266113","3.3674817085266113","3.3674817085266113"
"17950","717","717","717","3.4406542778015137","3.4406542778015137","3.4406542778015137"
"18000","719","719","719","3.387803077697754","3.387803077697754","3.387803077697754"
"18050","721","721","721","3.4174582958221436","3.4174582958221436","3.4174582958221436"
