"train/global_step","./falcon_qwen_results_packing - _step","./falcon_qwen_results_packing - _step__MIN","./falcon_qwen_results_packing - _step__MAX","./falcon_qwen_results_packing - eval/loss","./falcon_qwen_results_packing - eval/loss__MIN","./falcon_qwen_results_packing - eval/loss__MAX"
"8600","343","343","343","1.3742313385009766","1.3742313385009766","1.3742313385009766"
"8650","345","345","345","1.3753656148910522","1.3753656148910522","1.3753656148910522"
"8700","347","347","347","1.3732430934906006","1.3732430934906006","1.3732430934906006"
"8750","349","349","349","1.3725547790527344","1.3725547790527344","1.3725547790527344"
"8800","351","351","351","1.372545599937439","1.372545599937439","1.372545599937439"
"8850","353","353","353","1.375781774520874","1.375781774520874","1.375781774520874"
"8900","355","355","355","1.3726050853729248","1.3726050853729248","1.3726050853729248"
"8950","357","357","357","1.3739203214645386","1.3739203214645386","1.3739203214645386"
"9000","359","359","359","1.3733917474746704","1.3733917474746704","1.3733917474746704"
"9050","361","361","361","1.3734054565429688","1.3734054565429688","1.3734054565429688"
"9100","363","363","363","1.3745639324188232","1.3745639324188232","1.3745639324188232"
"9150","365","365","365","1.373745083808899","1.373745083808899","1.373745083808899"
"9200","367","367","367","1.373699426651001","1.373699426651001","1.373699426651001"
"9250","369","369","369","1.3729480504989624","1.3729480504989624","1.3729480504989624"
"9300","371","371","371","1.3726986646652222","1.3726986646652222","1.3726986646652222"
"9350","373","373","373","1.3720499277114868","1.3720499277114868","1.3720499277114868"
"9400","375","375","375","1.3735963106155396","1.3735963106155396","1.3735963106155396"
"9450","377","377","377","1.372928500175476","1.372928500175476","1.372928500175476"
"9500","379","379","379","1.3727771043777466","1.3727771043777466","1.3727771043777466"
"9550","381","381","381","1.3733021020889282","1.3733021020889282","1.3733021020889282"
"9600","383","383","383","1.3734697103500366","1.3734697103500366","1.3734697103500366"
"9650","385","385","385","1.3731287717819214","1.3731287717819214","1.3731287717819214"
"9700","387","387","387","1.3733559846878052","1.3733559846878052","1.3733559846878052"
"9750","389","389","389","1.371369481086731","1.371369481086731","1.371369481086731"
"9800","391","391","391","1.3714773654937744","1.3714773654937744","1.3714773654937744"
"9850","393","393","393","1.3716671466827393","1.3716671466827393","1.3716671466827393"
"9900","395","395","395","1.3725683689117432","1.3725683689117432","1.3725683689117432"
"9950","397","397","397","1.3718476295471191","1.3718476295471191","1.3718476295471191"
"10000","399","399","399","1.3712934255599976","1.3712934255599976","1.3712934255599976"
"10050","401","401","401","1.3709574937820435","1.3709574937820435","1.3709574937820435"
"10100","403","403","403","1.371941089630127","1.371941089630127","1.371941089630127"
"10150","405","405","405","1.3721072673797607","1.3721072673797607","1.3721072673797607"
"10200","407","407","407","1.371910572052002","1.371910572052002","1.371910572052002"
"10250","409","409","409","1.3740836381912231","1.3740836381912231","1.3740836381912231"
"10300","411","411","411","1.3714230060577393","1.3714230060577393","1.3714230060577393"
"10350","413","413","413","1.372951626777649","1.372951626777649","1.372951626777649"
"10400","415","415","415","1.3742409944534302","1.3742409944534302","1.3742409944534302"
"10450","417","417","417","1.3722537755966187","1.3722537755966187","1.3722537755966187"
"10500","419","419","419","1.371843934059143","1.371843934059143","1.371843934059143"
"10550","421","421","421","1.3720706701278687","1.3720706701278687","1.3720706701278687"
"10600","423","423","423","1.3732249736785889","1.3732249736785889","1.3732249736785889"
"10650","425","425","425","1.3720149993896484","1.3720149993896484","1.3720149993896484"
"10700","427","427","427","1.3713406324386597","1.3713406324386597","1.3713406324386597"
"10750","429","429","429","1.371813178062439","1.371813178062439","1.371813178062439"
"10800","431","431","431","1.3716768026351929","1.3716768026351929","1.3716768026351929"
"10850","433","433","433","1.3702255487442017","1.3702255487442017","1.3702255487442017"
"10900","435","435","435","1.3709419965744019","1.3709419965744019","1.3709419965744019"
"10950","437","437","437","1.372409701347351","1.372409701347351","1.372409701347351"
"11000","439","439","439","1.3718410730361938","1.3718410730361938","1.3718410730361938"
"11050","441","441","441","1.371042251586914","1.371042251586914","1.371042251586914"
"11100","443","443","443","1.3712854385375977","1.3712854385375977","1.3712854385375977"
"11150","445","445","445","1.3701045513153076","1.3701045513153076","1.3701045513153076"
"11200","447","447","447","1.3711364269256592","1.3711364269256592","1.3711364269256592"
"11250","449","449","449","1.3697813749313354","1.3697813749313354","1.3697813749313354"
"11300","451","451","451","1.3695775270462036","1.3695775270462036","1.3695775270462036"
"11350","453","453","453","1.3702250719070435","1.3702250719070435","1.3702250719070435"
"11400","455","455","455","1.370719313621521","1.370719313621521","1.370719313621521"
"11450","457","457","457","1.3706027269363403","1.3706027269363403","1.3706027269363403"
"11500","459","459","459","1.3722882270812988","1.3722882270812988","1.3722882270812988"
"11550","461","461","461","1.3725693225860596","1.3725693225860596","1.3725693225860596"
"11600","463","463","463","1.3706632852554321","1.3706632852554321","1.3706632852554321"
"11650","465","465","465","1.3713486194610596","1.3713486194610596","1.3713486194610596"
"11700","467","467","467","1.3703391551971436","1.3703391551971436","1.3703391551971436"
"11750","469","469","469","1.3702694177627563","1.3702694177627563","1.3702694177627563"
"11800","471","471","471","1.3713998794555664","1.3713998794555664","1.3713998794555664"
"11850","473","473","473","1.370531439781189","1.370531439781189","1.370531439781189"
"11900","475","475","475","1.3702670335769653","1.3702670335769653","1.3702670335769653"
"11950","477","477","477","1.3709315061569214","1.3709315061569214","1.3709315061569214"
"12000","479","479","479","1.3703815937042236","1.3703815937042236","1.3703815937042236"
"12050","481","481","481","1.3696883916854858","1.3696883916854858","1.3696883916854858"
"12100","483","483","483","1.370392918586731","1.370392918586731","1.370392918586731"
"12150","485","485","485","1.3704761266708374","1.3704761266708374","1.3704761266708374"
"12200","487","487","487","1.3697466850280762","1.3697466850280762","1.3697466850280762"
"12250","489","489","489","1.3696036338806152","1.3696036338806152","1.3696036338806152"
"12300","491","491","491","1.3706917762756348","1.3706917762756348","1.3706917762756348"
"12350","493","493","493","1.3704639673233032","1.3704639673233032","1.3704639673233032"
"12400","495","495","495","1.3697094917297363","1.3697094917297363","1.3697094917297363"
"12450","497","497","497","1.3704156875610352","1.3704156875610352","1.3704156875610352"
"12500","499","499","499","1.3699283599853516","1.3699283599853516","1.3699283599853516"
"12550","501","501","501","1.3708957433700562","1.3708957433700562","1.3708957433700562"
"12600","503","503","503","1.3686178922653198","1.3686178922653198","1.3686178922653198"
"12650","505","505","505","1.3696215152740479","1.3696215152740479","1.3696215152740479"
"12700","507","507","507","1.3701748847961426","1.3701748847961426","1.3701748847961426"
"12750","509","509","509","1.371017575263977","1.371017575263977","1.371017575263977"
"12800","511","511","511","1.3699533939361572","1.3699533939361572","1.3699533939361572"
"12850","513","513","513","1.3704183101654053","1.3704183101654053","1.3704183101654053"
"12900","515","515","515","1.3689689636230469","1.3689689636230469","1.3689689636230469"
"12950","517","517","517","1.370623230934143","1.370623230934143","1.370623230934143"
"13000","519","519","519","1.3694316148757935","1.3694316148757935","1.3694316148757935"
"13050","521","521","521","1.3693978786468506","1.3693978786468506","1.3693978786468506"
"13100","523","523","523","1.370728850364685","1.370728850364685","1.370728850364685"
"13150","525","525","525","1.369707465171814","1.369707465171814","1.369707465171814"
"13200","527","527","527","1.370071291923523","1.370071291923523","1.370071291923523"
"13250","529","529","529","1.370335340499878","1.370335340499878","1.370335340499878"
"13300","531","531","531","1.3684792518615723","1.3684792518615723","1.3684792518615723"
"13350","533","533","533","1.369450569152832","1.369450569152832","1.369450569152832"
"13400","535","535","535","1.3690840005874634","1.3690840005874634","1.3690840005874634"
"13450","537","537","537","1.368860125541687","1.368860125541687","1.368860125541687"
"13500","539","539","539","1.3690849542617798","1.3690849542617798","1.3690849542617798"
"13550","541","541","541","1.369247555732727","1.369247555732727","1.369247555732727"
"13600","543","543","543","1.3682785034179688","1.3682785034179688","1.3682785034179688"
"13650","545","545","545","1.3695940971374512","1.3695940971374512","1.3695940971374512"
"13700","547","547","547","1.3698985576629639","1.3698985576629639","1.3698985576629639"
"13750","549","549","549","1.3692389726638794","1.3692389726638794","1.3692389726638794"
"13800","551","551","551","1.3700884580612183","1.3700884580612183","1.3700884580612183"
"13850","553","553","553","1.3697642087936401","1.3697642087936401","1.3697642087936401"
"13900","555","555","555","1.368672251701355","1.368672251701355","1.368672251701355"
"13950","557","557","557","1.3714567422866821","1.3714567422866821","1.3714567422866821"
"14000","559","559","559","1.3689382076263428","1.3689382076263428","1.3689382076263428"
"14050","561","561","561","1.3682522773742676","1.3682522773742676","1.3682522773742676"
"14100","563","563","563","1.367751955986023","1.367751955986023","1.367751955986023"
